preference_key,movie_title,star_cast,rating,year,place,vote,link
1,Django sin cadenas,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.402691548368873,2012,57,,/title/tt1853728/
2,WALL·E,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.392627767771991,2008,58,,/title/tt0910970/
3,La vida de los otros,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.386322127109205,2006,59,,/title/tt0405094/
4,El ocaso de una vida,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.382471205450704,1950,60,,/title/tt0043014/
1,La patrulla infernal,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.370676404056717,1957,61,,/title/tt0050825/
2,El resplandor,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.36785447076437,1980,62,,/title/tt0081505/
3,El gran dictador,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.366266619685524,1940,63,,/title/tt0032553/
4,Testigo de cargo,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.35662373175018,1957,64,,/title/tt0051201/
1,Avengers: Infinity War,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.35562359298431,2018,65,,/title/tt4154756/
2,"Alien 2, el regreso","James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.344746921458237,1986,66,,/title/tt0090605/
3,Belleza americana,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.337979235408493,1999,67,,/title/tt0169547/
4,Dr Insólito o Cómo aprendí a no preocuparme y amar la bomba,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.333734745929393,1964,68,,/title/tt0057012/
1,Batman: El caballero de la noche asciende,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.32868926163957,2012,69,,/title/tt1345836/
2,Spider-Man: Un nuevo universo,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.328472853719495,2018,70,,/title/tt4633694/
3,Guasón,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.319874618354438,2019,71,,/title/tt7286456/
4,Oldboy: Cinco días para vengarse,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-Tae",8.319828496382762,2003,72,,/title/tt0364569/
1,Corazón valiente,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.31550593628572,1995,73,,/title/tt0112573/
2,Amadeus,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.315363746998255,1984,74,,/title/tt0086879/
3,Toy Story,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.314576385344298,1995,75,,/title/tt0114709/
4,Coco,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.312235396005498,2017,76,,/title/tt2380307/
1,El submarino,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.311823474911899,1981,77,,/title/tt0082096/
2,Bastardos sin gloria,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.31086506233514,2009,78,,/title/tt0361748/
3,La princesa Mononoke,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.303751796751138,1997,79,,/title/tt0119698/
4,Avengers: Endgame,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.301017263879992,2019,80,,/title/tt4154796/
1,Érase una vez en América,"Sergio Leone (dir.), Robert De Niro, James Woods",8.300710355094276,1984,81,,/title/tt0087843/
2,Mente indomable,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.286564400287252,1997,82,,/title/tt0119217/
3,Réquiem por un sueño,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.276885858077,2000,83,,/title/tt0180093/
4,Toy Story 3,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.276605565554744,2010,84,,/title/tt0435761/
1,Your Name,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.274376279188179,2016,85,,/title/tt5311514/
2,Cantando bajo la lluvia,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.273740564524623,1952,86,,/title/tt0045152/
3,3 Idiots,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.268814812068904,2009,87,,/title/tt1187043/
4,El regreso del Jedi,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.268136656131833,1983,88,,/title/tt0086190/
1,2001: odisea del espacio,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.265414151059307,1968,89,,/title/tt0062622/
2,Eterno resplandor de una mente sin recuerdos,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.264684461381357,2004,90,,/title/tt0338013/
3,Perros de reserva,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.264608904397868,1992,91,,/title/tt0105236/
4,Cielo e infierno,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.263146483057847,1963,92,,/title/tt0057565/
1,Cafarnaúm: la ciudad olvidada,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.258806221595554,2018,93,,/title/tt8267604/
2,El ciudadano Kane,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.257937899041007,1941,94,,/title/tt0033467/
3,Lawrence de Arabia,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.256470297797463,1962,95,,/title/tt0056172/
4,Jagten,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.2549854405468,2012,96,,/title/tt2106476/
1,Intriga internacional,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.253818872720053,1959,97,,/title/tt0053125/
2,M el maldito,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.253805266656338,1931,98,,/title/tt0022100/
3,De entre los muertos,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.248043876364045,1958,99,,/title/tt0052357/
4, Amelie,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.246306287933557,2001,10,,/title/tt0211915/
1,Naranja mecánica,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.244753617931933,1971,101,,/title/tt0066921/
2,Ven y mira,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.243486968341243,1985,102,,/title/tt0091251/
3,Cara de guerra,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.240211090641118,1987,103,,/title/tt0093058/
4,Pacto de sangre,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.238055199973445,1944,104,,/title/tt0036775/
1,Piso de soltero,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.23707171729074,1960,105,,/title/tt0053604/
2,Caracortada,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.235148784930427,1983,106,,/title/tt0086250/
3,Ikiru - Vivir,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.230445522592648,1952,107,,/title/tt0044741/
4,El golpe,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.229108903536217,1973,108,,/title/tt0070735/
1,Matar a un ruiseñor,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.228929137020652,1962,109,,/title/tt0056592/
2,Taxi Driver,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.228099674326998,1976,110,,/title/tt0075314/
3,Los Ángeles al desnudo,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.224954384343514,1997,111,,/title/tt0119488/
4,"Up, una aventura de altura","Pete Docter (dir.), Edward Asner, Jordan Nagai",8.224338915342685,2009,112,,/title/tt1049413/
1,Fuego contra fuego,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.223241747620722,1995,113,,/title/tt0113277/
2,Hamilton,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",8.221655503039681,2020,114,,/title/tt8503618/
3,Metrópolis,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.220949914778101,1927,115,,/title/tt0017136/
4,Snatch: Cerdos y diamantes,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.220513623631401,2000,116,,/title/tt0208092/
1,Una separación,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.220503783219582,2011,117,,/title/tt1832382/
2,Duro de matar,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.22031013735333,1988,118,,/title/tt0095016/
3,La mujer que cantaba,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.219499441853797,2010,119,,/title/tt1255953/
4,Indiana Jones y la última cruzada,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.218427005350307,1989,120,,/title/tt0097576/
1,Ladrones de bicicletas,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.217603610820312,1948,121,,/title/tt0040522/
2,Spider-Man: sin camino a casa,"Jon Watts (dir.), Tom Holland, Zendaya",8.214543874635906,2021,122,,/title/tt10872600/
3,1917,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.212242542214323,2019,123,,/title/tt8579674/
4,Like stars on Earth,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.206076893323514,2007,124,,/title/tt0986264/
1,La caída,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.204621257922241,2004,125,,/title/tt0363163/
2,Por unos dólares más,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.20342832134148,1965,126,,/title/tt0059578/
3,Batman inicia,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.202248931321074,2005,127,,/title/tt0372784/
4,Dangal,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.19759847970935,2016,128,,/title/tt5074352/
1,El chiquillo,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.194497831254248,1921,129,,/title/tt0012349/
2,Una Eva y dos Adanes,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.191478459063056,1959,130,,/title/tt0053291/
3,Everything Everywhere All at Once,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu",8.184770881526624,2022,131,,/title/tt6710474/
4,El Padre,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",8.182692364407625,2020,132,,/title/tt10272386/
1,La malvada,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.180030147443656,1950,133,,/title/tt0042192/
2,Green Book: Una amistad sin fronteras,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.174377080120967,2018,134,,/title/tt6966692/
3,El lobo de Wall Street,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.171426139762815,2013,135,,/title/tt0993846/
4,Juicio en Nuremberg,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.16867407258162,1961,136,,/title/tt0055031/
1,Los imperdonables,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.164663012877575,1992,137,,/title/tt0105695/
2,Casino,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.163790039265685,1995,138,,/title/tt0112641/
3,Ran,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.163688886536438,1985,139,,/title/tt0089881/
4,El laberinto del fauno,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.163458321967568,2006,140,,/title/tt0457430/
1,Petróleo sangriento,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.154834365576315,2007,141,,/title/tt0469494/
2,El sexto sentido,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.15376011355984,1999,142,,/title/tt0167404/
3,Una mente brillante,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.15319898240257,2001,143,,/title/tt0268978/
4,Monty Python and the Holy Grail,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.152814755806068,1975,144,,/title/tt0071853/
1,The Truman Show: Historia de una vida,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.151704322802766,1998,145,,/title/tt0120382/
2,Yojimbo,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.148948982320752,1961,146,,/title/tt0055630/
3,El tesoro de la Sierra Madre,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.147995860839963,1948,147,,/title/tt0040897/
4,La isla siniestra,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.142827601296533,2010,148,,/title/tt1130884/
1,Rashomon,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.142729633417405,1950,149,,/title/tt0042876/
2,El gran escape,"John Sturges (dir.), Steve McQueen, James Garner",8.142382132346196,1963,150,,/title/tt0057115/
3,Parque jurásico,"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.140720916798347,1993,151,,/title/tt0107290/
4,Kill Bill Vol 1,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.137355962747804,2003,152,,/title/tt0266697/
1,Sin lugar para los débiles,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.135453789478197,2007,153,,/title/tt0477348/
2,Buscando a Nemo,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.131260622153887,2003,154,,/title/tt0266543/
3,El hombre elefante,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.130974066108172,1980,155,,/title/tt0080678/
4,El toro salvaje,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.129870870079417,1980,156,,/title/tt0081398/
1,Barrio Chino,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.129342102961806,1974,157,,/title/tt0071315/
2,Lo que el viento se llevó,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.127000811556893,1939,158,,/title/tt0031381/
3,V de Venganza,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.126070044229303,2005,159,,/title/tt0434409/
4,La cosa del otro mundo,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.12461019596029,1982,160,,/title/tt0084787/
1,Intensa Mente,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.124578671082544,2015,161,,/title/tt2096673/
2,"Juegos, trampas y dos armas humeantes","Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.123531402791908,1998,162,,/title/tt0120735/
3,Con M de Muerte,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.119157296810252,1954,163,,/title/tt0046912/
4,El secreto de sus ojos,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.117845505928665,2009,164,,/title/tt1305806/
1,El puente sobre el río Kwai,"David Lean (dir.), William Holden, Alec Guinness",8.114482077191953,1957,165,,/title/tt0050212/
2,El increíble castillo vagabundo,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.114408544074065,2004,166,,/title/tt0347149/
3,Tres anuncios por un crimen,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.11167891785001,2017,167,,/title/tt5027774/
4,La vida en el abismo,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.11161588381127,1996,168,,/title/tt0117951/
1,Gran Torino,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.105324252993274,2008,169,,/title/tt1205489/
2,La última pelea,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.105018209646493,2011,170,,/title/tt1291584/
3,"Fargo, secuestro voluntario","Joel Coen (dir.), William H. Macy, Frances McDormand",8.103419205157305,1996,171,,/title/tt0116282/
4,Mi vecino Totoro,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.0954202525144,1988,172,,/title/tt0096283/
1,Intriga,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.095023763748019,2013,173,,/title/tt1392214/
2,Golpes del destino,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.090036211183014,2004,174,,/title/tt0405159/
3,La quimera del oro,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.087872917532382,1925,175,,/title/tt0015864/
4,Blade Runner,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.087073188570281,1982,176,,/title/tt0083658/
1,Atrápame si puedes,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.086155152029077,2002,177,,/title/tt0264464/
2,Nido de ratas,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.084447037175199,1954,178,,/title/tt0047296/
3,El tercer hombre,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.082546337319952,1949,179,,/title/tt0041959/
4,Los niños del cielo,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.080704170165408,1997,180,,/title/tt0118849/
1,Ben-Hur,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.078830258640059,1959,181,,/title/tt0052618/
2,12 años esclavo,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.078109114520773,2013,182,,/title/tt2024544/
3,El general,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.077647326796482,1926,183,,/title/tt0017925/
4,Perdida,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.077316657076485,2014,184,,/title/tt2267998/
1,Las fresas silvestres,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.077280777028276,1957,185,,/title/tt0050986/
2,Antes del amanecer,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.076616533585263,1995,186,,/title/tt0112471/
3,El francotirador,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.075904481177652,1978,187,,/title/tt0077416/
4,Harry Potter y las reliquias de la muerte 2,"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.075774434618532,2011,188,,/title/tt1201607/
1,En el nombre del padre,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.074348115724106,1993,189,,/title/tt0107207/
2,El gran hotel Budapest,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.07244011724101,2014,190,,/title/tt2278388/
3,Caballero sin espada,"Frank Capra (dir.), James Stewart, Jean Arthur",8.071236347859946,1939,191,,/title/tt0031679/
4,El salario del miedo,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.070090396379173,1953,192,,/title/tt0046268/
1,Barry Lyndon,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.069471324370564,1975,193,,/title/tt0072684/
2,Sherlock Jr,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.068996602477684,1924,194,,/title/tt0015324/
3,Salinui chueok,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung",8.068314913117414,2003,195,,/title/tt0353969/
4,Room,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.067478250767305,2015,196,,/title/tt3170832/
1,Hasta el último hombre,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.0671248006943,2016,197,,/title/tt2119532/
2,Klaus,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.066813193299906,2019,198,,/title/tt4729430/
3,El séptimo sello,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.066300860511738,1957,199,,/title/tt0050976/
4,Relatos salvajes,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.064845472050449,2014,200,,/title/tt3011894/
1,Identidad peligrosa,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.062825662249601,1998,201,,/title/tt0118715/
2,Cómo entrenar a tu dragón,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.061968267254981,2010,202,,/title/tt0892769/
3,Mad Max: Furia en el camino,"George Miller (dir.), Tom Hardy, Charlize Theron",8.061789421038295,2015,203,,/title/tt1392190/
4,Mary and Max,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.060326490957143,2009,204,,/title/tt0978762/
1,"Monsters, Inc","Pete Docter (dir.), Billy Crystal, John Goodman",8.058530251546344,2001,205,,/title/tt0198781/
2,Tiburón,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",8.057873445384834,1975,206,,/title/tt0073195/
3,La passion de Jeanne d'Arc,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.055517436490167,1928,207,,/title/tt0019254/
4,Hotel Ruanda,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.052921767838985,2004,208,,/title/tt0395169/
1,La sociedad de los poetas muertos,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.052275980099592,1989,209,,/title/tt0097165/
2,Tôkyô monogatari,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.051976381566977,1953,210,,/title/tt0046438/
3,Pather Panchali,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",8.051881543079016,1955,211,,/title/tt0048473/
